Date,CPI Rate
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,3.942652329749108
1988-03-01,3.9250669045495234
1988-04-01,3.9041703637976877
1988-05-01,3.89036251105217
1988-06-01,3.96475770925111
1988-07-01,4.130052724077338
1988-08-01,4.020979020979021
1988-09-01,4.17391304347825
1988-10-01,4.249783174327848
1988-11-01,4.246100519930662
1988-12-01,4.419410745233954
1989-01-01,4.667242869490051
1989-02-01,4.827586206896539
1989-03-01,4.978540772532192
1989-04-01,5.123825789923142
1989-05-01,5.361702127659562
1989-06-01,5.1694915254237195
1989-07-01,4.978902953586495
1989-08-01,4.705882352941182
1989-09-01,4.340567612687818
1989-10-01,4.492512479201327
1989-11-01,4.655029093931851
1989-12-01,4.647302904564321
1990-01-01,5.202312138728327
1990-02-01,5.263157894736836
1990-03-01,5.233033524121011
1990-04-01,4.711616571892785
1990-05-01,4.3618739903069415
1990-06-01,4.673650282030639
1990-07-01,4.8231511254019255
1990-08-01,5.617977528089879
1990-09-01,6.159999999999988
1990-10-01,6.289808917197459
1990-11-01,6.27482128673551
1990-12-01,6.10626486915149
1991-01-01,5.651491365777073
1991-02-01,5.312500000000009
1991-03-01,4.895104895104896
1991-04-01,4.8875096974398735
1991-05-01,4.953560371517041
1991-06-01,4.695919938414161
1991-07-01,4.447852760736182
1991-08-01,3.7993920972644313
1991-09-01,3.3911077618688834
1991-10-01,2.921348314606753
1991-11-01,2.9895366218236186
1991-12-01,3.064275037369213
1992-01-01,2.600297176820199
1992-02-01,2.8189910979228294
1992-03-01,3.185185185185202
1992-04-01,3.1804733727810675
1992-05-01,3.0235988200590036
1992-06-01,3.088235294117636
1992-07-01,3.1571218795888534
1992-08-01,3.1478770131771583
1992-09-01,2.988338192419837
1992-10-01,3.2023289665211063
1992-11-01,3.0478955007256836
1992-12-01,2.9006526468455363
1993-01-01,3.258508327299059
1993-02-01,3.2467532467532534
1993-03-01,3.086862885857844
1993-04-01,3.2258064516129004
1993-05-01,3.2211882605583497
1993-06-01,2.9957203994293913
